"�..OBJECTNUMMER";"Naam_project";"Gebouwtype";"Jaar_beschikbaar";"Oppervlak_kavel_m2";"Aantal_woningen";"Start_bouw_mogelijk";"Niet_woonfunctie_mogelijk";"Contactpersoon";"Telefoon";"Organisatie";"Mailadres";"Opmerking";"WKT_LNG_LAT";"WKT_LAT_LNG";"LNG";"LAT";"X"
137;"Route 1066";"Vrijstaand";"Gerealiseerd";"";"";0;"";"";NA;"De Alliantie";"";"";"POINT(4.822188,52.343094)";"POINT(52.343094,4.822188)";4.822188;52.343094;NA
138;"Zaaiersweg 1";"Bestaand gebouw";"Gerealiseerd";"";"";0;"";"";NA;"";"";"";"POINT(4.9452312,52.3441283)";"POINT(52.3441283,4.9452312)";4.9452312;52.3441283;NA
148;"Amstelkwartier";"Naast elkaar";"Gerealiseerd";"";"";0;"";"Suzanne de Wit";NA;"";"s.de.wit@amsterdam.nl";"contracten gesloten, via formulier website aanmelden voor reservelijst  ";"POINT(4.9186718,52.3402487)";"POINT(52.3402487,4.9186718)";4.9186718;52.3402487;NA
149;"Woon/Werkgebouw Nautilus";"Samen in het groot (CPO)";"Gerealiseerd";"";"";0;"";"";NA;"";"";"";"POINT(4.9683578,52.3705756)";"POINT(52.3705756,4.9683578)";4.9683578;52.3705756;NA
155;"Oostenburgervoorstraat";"Samen in het groot (CPO)";"Gerealiseerd";"";"";0;"";"";NA;"";"";"";"POINT(4.9246271,52.3698813)";"POINT(52.3698813,4.9246271)";4.9246271;52.3698813;NA
157;"Entreegebied";"Naast elkaar";"Gerealiseerd";"";"";0;"";"";NA;"";"";"";"POINT(4.963508,52.389789)";"POINT(52.389789,4.963508)";4.963508;52.389789;NA
161;"Podium Amsterdam 02";"Samen in het groot (CPO)";"In uitvoering";"";"";0;"";"";NA;"";"";"";"POINT(4.8365648,52.3563315)";"POINT(52.3563315,4.8365648)";4.8365648;52.3563315;NA
170;"Moestuinlaan waterkavels";"Vrijstaand";"Gerealiseerd";"";"";0;"";"";NA;"";"";"";"POINT(4.901169,52.410201)";"POINT(52.410201,4.901169)";4.901169;52.410201;NA
172;"BSH 3C 11 & 29";"Naast elkaar";"Gerealiseerd";"";"";0;"";"";NA;"";"";"";"POINT(4.9050748,52.3989455)";"POINT(52.3989455,4.9050748)";4.9050748;52.3989455;NA
173;"BSH 3C 12 t/m 28";"Naast elkaar";"Gerealiseerd";"";"";0;"";"";NA;"";"";"";"POINT(4.904296,52.398874)";"POINT(52.398874,4.904296)";4.904296;52.398874;NA
175;"Buiksloterham 20A-F";"Samen in het groot (CPO)";"Gerealiseerd";"";"";0;"";"";NA;"";"";"";"POINT(4.904021,52.3964659)";"POINT(52.3964659,4.904021)";4.904021;52.3964659;NA
176;"Louis Bouwmeesterstraat";"Naast elkaar";"In uitvoering";"";"";0;"";"";NA;"";"";"";"POINT(4.8245819,52.3521315)";"POINT(52.3521315,4.8245819)";4.8245819;52.3521315;NA
177;"Karel Klinkenberg";"Samen in het groot (CPO)";"Gerealiseerd";"";"";0;"";"";NA;"";"";"";"POINT(4.834835,52.366167)";"POINT(52.366167,4.834835)";4.834835;52.366167;NA
178;"Karel Klinkenberg";"Naast elkaar";"Gerealiseerd";"";"";0;"";"";NA;"";"";"";"POINT(4.834749,52.36665)";"POINT(52.36665,4.834749)";4.834749;52.36665;NA
179;"Oude Modeschool";"Bestaand gebouw (CPO/MO)";"Gerealiseerd";"";"";0;"";"";NA;"";"";"";"POINT(4.938703,52.365848)";"POINT(52.365848,4.938703)";4.938703;52.365848;NA
181;"Emerald";"Naast elkaar";"In uitvoering";"";"";0;"";"";NA;"";"";"";"POINT(4.9605038,52.3244368)";"POINT(52.3244368,4.9605038)";4.9605038;52.3244368;NA
183;"De Hallen Noord kavel Bilderdijkkade 1 (B1) ";"Samen in het groot (CPO)";"Gerealiseerd";"";"";0;"";"";NA;"";"";"";"POINT(4.869025,52.367999)";"POINT(52.367999,4.869025)";4.869025;52.367999;NA
184;"De Hallen Noord kavels B2, B3, B4";"Samen in het groot (CPO)";"Gerealiseerd";"";"";0;"";"";NA;"";"";"";"POINT(4.869343,52.367575)";"POINT(52.367575,4.869343)";4.869343;52.367575;NA
185;"De Hallen Noord kavels B5";"Samen in het groot (CPO)";"Gerealiseerd";"";"";0;"";"";NA;"";"";"";"POINT(4.869515,52.367134)";"POINT(52.367134,4.869515)";4.869515;52.367134;NA
188;"Zeeburgereiland Blok 6";"Samen in het groot (CPO)";"In uitvoering";"";"";0;"";"";NA;"";"";"";"POINT(4.971276,52.3724104)";"POINT(52.3724104,4.971276)";4.971276;52.3724104;NA
194;"Zeeburgereiland Blok 4B";"Naast elkaar";"Gerealiseerd";"";"";0;"";"";NA;"";"";"";"POINT(4.969164,52.373444)";"POINT(52.373444,4.969164)";4.969164;52.373444;NA
196;"Gravendijk";"Vrijstaand";"Gerealiseerd";"";"";0;"";"";NA;"";"";"";"POINT(4.980704,52.323568)";"POINT(52.323568,4.980704)";4.980704;52.323568;NA
213;"Het Terpje";"Vrijstaand";"Gerealiseerd";"";"";0;"";"";NA;"";"";"";"POINT(4.7940781,52.3480498)";"POINT(52.3480498,4.7940781)";4.7940781;52.3480498;NA
218;"Zeeburgereiland 5B";"Naast elkaar";"Gerealiseerd";"";"";0;"";"";NA;"";"";"";"POINT(4.965139,52.373706)";"POINT(52.373706,4.965139)";4.965139;52.373706;NA
219;"Kop Weespertrekvaart C5";"Samen in het groot (CPO)";"In uitvoering";"";"";0;"";"";NA;"";"";"Inschrijving gesloten";"POINT(4.9225662,52.3404852)";"POINT(52.3404852,4.9225662)";4.9225662;52.3404852;NA
220;"Amstelkwartier";"Naast elkaar";"Gerealiseerd";"";"";0;"";"";NA;"";"";"";"POINT(4.919069,52.339908)";"POINT(52.339908,4.919069)";4.919069;52.339908;NA
222;"Buiksloterham";"Naast elkaar";"Gerealiseerd";"";"";0;"";"";NA;"";"";"";"POINT(4.903276,52.399532)";"POINT(52.399532,4.903276)";4.903276;52.399532;NA
223;"Schepenlaan";"Naast elkaar";"Gerealiseerd";"";"";0;"";"";NA;"";"";"";"POINT(4.914863,52.404598)";"POINT(52.404598,4.914863)";4.914863;52.404598;NA
224;"Entreegebied 2e fase";"Vrijstaand";"In uitvoering";"";"";0;"";"";NA;"";"";"";"POINT(4.9620922,52.3893515)";"POINT(52.3893515,4.9620922)";4.9620922;52.3893515;NA
225;"Duinluststraat";"Naast elkaar";"Gerealiseerd";"";"";0;"";"";NA;"";"";"";"POINT(4.953016,52.395433)";"POINT(52.395433,4.953016)";4.953016;52.395433;NA
226;"En Bloc Houthaven 5D/E";"Samen in het groot (MO)";"In uitvoering";"2284m2";"Max. 88";0;"Ja, in gemeenschappelijke ruimtes";"";NA;"";"";"";"POINT(4.8759181,52.3942343)";"POINT(52.3942343,4.8759181)";4.8759181;52.3942343;NA
227;"BSH05";"Naast elkaar";"Gerealiseerd";"";"";0;"";"";NA;"";"";"";"POINT(4.907482,52.397332)";"POINT(52.397332,4.907482)";4.907482;52.397332;NA
230;"Broekmanhuis";"Bestaand gebouw (CPO/MO)";"In uitvoering";"";"";0;"";"";NA;"";"";"";"POINT(4.8011048,52.3626525)";"POINT(52.3626525,4.8011048)";4.8011048;52.3626525;NA
231;"Sloterweg A";"Naast elkaar";"In uitvoering";"";"";0;"";"";NA;"";"";"";"POINT(4.8030369,52.3412139)";"POINT(52.3412139,4.8030369)";4.8030369;52.3412139;NA
235;"Sloterdijk";"Samen in het groot (CPO)";"In uitvoering";"";"";0;"";"";NA;"";"";"Inschrijving gesloten";"POINT(4.835438,52.3871657)";"POINT(52.3871657,4.835438)";4.835438;52.3871657;NA
236;"Buiksloterham en Co";"Naast elkaar";"Gerealiseerd";"";"";0;"";"";NA;"De Alliantie";"";"";"POINT(4.900336,52.3942687)";"POINT(52.3942687,4.900336)";4.900336;52.3942687;NA
238;"CPO Sciencepark";"Samen in het groot (CPO)";"In uitvoering";"";"";0;"";"";NA;"";"";"";"POINT(4.9458702,52.3577468)";"POINT(52.3577468,4.9458702)";4.9458702;52.3577468;NA
240;"Entreegebied 2e fase";"Vrijstaand";"In uitvoering";"";"";0;"";"";NA;"";"";"";"POINT(4.9621351,52.3893706)";"POINT(52.3893706,4.9621351)";4.9621351;52.3893706;NA
241;"Entreegebied";"Naast elkaar";"In uitvoering";"";"";0;"";"";NA;"";"";"";"POINT(4.963164,52.389396)";"POINT(52.389396,4.963164)";4.963164;52.389396;NA
242;"Spijtellaantje";"Vrijstaand";"In uitvoering";"";"";0;"";"";NA;"";"";"";"POINT(4.8480551,52.346646)";"POINT(52.346646,4.8480551)";4.8480551;52.346646;NA
243;"Eenhoorngebied kavel E";"Naast elkaar";"In uitvoering";"";"";0;"";"";NA;"";"";"";"POINT(4.9198091,52.3502242)";"POINT(52.3502242,4.9198091)";4.9198091;52.3502242;NA
244;"Cor Hermusstraat";"Vrijstaand";"In uitvoering";"";"";0;"";"";NA;"";"";"";"POINT(4.8228528,52.3529631)";"POINT(52.3529631,4.8228528)";4.8228528;52.3529631;NA
245;"Sloterweg";"Naast elkaar";"In uitvoering";"";"";0;"";"";NA;"";"";"";"POINT(4.8090389,52.3411604)";"POINT(52.3411604,4.8090389)";4.8090389;52.3411604;NA
246;"Sloterweg";"Vrijstaand";"In uitvoering";"";"";0;"";"";NA;"";"";"Inschrijving gesloten";"POINT(4.8081009,52.3411337)";"POINT(52.3411337,4.8081009)";4.8081009;52.3411337;NA
247;"Amstelkwartier 2A-B1";"Samen in het groot (CPO)";"In uitvoering";"";"";0;"";"";NA;"";"";"Inschrijving gesloten";"POINT(4.9187152,52.3400237)";"POINT(52.3400237,4.9187152)";4.9187152;52.3400237;NA
248;"Kop Weespertrekvaart A20";"Naast elkaar";"In uitvoering";"";"";0;"";"";NA;"";"";"";"POINT(4.922114,52.34074)";"POINT(52.34074,4.922114)";4.922114;52.34074;NA
251;"Parnassia";"Samen in het groot (CPO)";"In uitvoering";"";"";0;"";"";NA;"";"";"Inschrijving gesloten";"POINT(4.9587009,52.396794)";"POINT(52.396794,4.9587009)";4.9587009;52.396794;NA
252;"Dubbelink, kavel 5";"Naast elkaar";"In uitvoering";"";"";0;"";"";NA;"";"";"";"POINT(4.9505851,52.3227049)";"POINT(52.3227049,4.9505851)";4.9505851;52.3227049;NA
253;"Entreegebied 2e fase";"Samen in het klein";"In uitvoering";"";"";0;"";"";NA;"";"";"Inschrijving gesloten";"POINT(4.9641521,52.3894507)";"POINT(52.3894507,4.9641521)";4.9641521;52.3894507;NA
255;"Zeeburgereiland 2A";"Naast elkaar";"Gerealiseerd";"";"";0;"";"";NA;"";"";"Inschrijving 29 oktober-26 november 2016";"POINT(4.965825,52.375488)";"POINT(52.375488,4.965825)";4.965825;52.375488;NA
256;"Zeeburgereiland 2A";"Samen in het klein";"In uitvoering";"";"";0;"";"";NA;"";"";"Inschrijving gesloten";"POINT(4.9667261,52.3754622)";"POINT(52.3754622,4.9667261)";4.9667261;52.3754622;NA
257;"Kop Weespertrekvaart A20";"Samen in het klein";"In uitvoering";"";"";0;"";"";NA;"";"";"";"POINT(4.922169,52.34074)";"POINT(52.34074,4.922169)";4.922169;52.34074;NA
258;"Amstelkwartier 4D/4E";"Samen in het groot (CPO)";"In uitvoering";"";"";0;"";"";NA;"";"";"Inschrijving gesloten";"POINT(4.9163868,52.3388678)";"POINT(52.3388678,4.9163868)";4.9163868;52.3388678;NA
260;"Ringdijk, blok 1A";"Samen in het groot (CPO)";"In uitvoering";"";"";0;"";"";NA;"";"";"Op 22 juni 2017 start de selectie";"POINT(4.923468,52.35278)";"POINT(52.35278,4.923468)";4.923468;52.35278;NA
261;"Centrumeiland blok 11";"Samen in het groot (CPO)";"In uitvoering";"";"";0;"";"";NA;"";"";"";"POINT(5.0146272,52.3525511)";"POINT(52.3525511,5.0146272)";5.0146272;52.3525511;NA
262;"Centrumeiland blok 11";"Naast elkaar";"In uitvoering";"";"";0;"";"";NA;"";"";"";"POINT(5.0149581,52.3521468)";"POINT(52.3521468,5.0149581)";5.0149581;52.3521468;NA
264;"Ringdijk, blok 1 en 3";"Naast elkaar";"In uitvoering";"";"";0;"";"";NA;"";"";"Planning 2e helft 2017";"POINT(4.9235404,52.3528062)";"POINT(52.3528062,4.9235404)";4.9235404;52.3528062;NA
265;"Ringdijk, blok 1E";"Samen in het klein";"In uitvoering";"";"";0;"";"";NA;"";"";"Planning 2e helft 2017";"POINT(4.923602,52.3528259)";"POINT(52.3528259,4.923602)";4.923602;52.3528259;NA
267;"Centrumeiland blok 10";"Samen in het klein";"In uitvoering";"";"";0;"";"";NA;"";"";"Start inschrijving 8 juli 2017";"POINT(5.0128605,52.3521312)";"POINT(52.3521312,5.0128605)";5.0128605;52.3521312;NA
269;"Centrumeiland blok 11";"Samen in het klein";"In uitvoering";"";"";0;"";"";NA;"";"";"";"POINT(5.0149958,52.3523299)";"POINT(52.3523299,5.0149958)";5.0149958;52.3523299;NA
270;"Centrumeiland blok 10";"Samen in het groot (CPO)";"In uitvoering";"";"";0;"";"";NA;"";"";"";"POINT(5.0131717,52.3517052)";"POINT(52.3517052,5.0131717)";5.0131717;52.3517052;NA
271;"Centrumeiland blok 10";"Naast elkaar";"In uitvoering";"";"";0;"";"";NA;"";"";"";"POINT(5.0131394,52.3519411)";"POINT(52.3519411,5.0131394)";5.0131394;52.3519411;NA
272;"Centrumeiland Wooncooperatie";"Samen in het groot (Wooncoöperatie)";"In uitvoering";"";"";0;"";"";NA;"";"";"";"POINT(5.0133755,52.3518625)";"POINT(52.3518625,5.0133755)";5.0133755;52.3518625;NA
273;"Pilot Wooncoöperatie Archimedesplantsoen";"Samen in het groot (Wooncoöperatie)";"In uitvoering";"";"";0;"";"";NA;"";"";"";"POINT(4.9475809,52.352875)";"POINT(52.352875,4.9475809)";4.9475809;52.352875;NA
276;"Parnassia";"Naast elkaar";"In uitvoering";"";"";0;"";"";NA;"";"";"";"POINT(4.9587014,52.3967298)";"POINT(52.3967298,4.9587014)";4.9587014;52.3967298;NA
277;"Lutkemeerweg";"Vrijstaand";"In uitvoering";"";"";0;"";"";NA;"";"";"";"POINT(4.7624924,52.3559057)";"POINT(52.3559057,4.7624924)";4.7624924;52.3559057;NA
278;"Centrumeiland Blok 14/15";"Samen in het groot (CPO)";"In uitvoering";"";"";0;"";"";NA;"";"";"";"POINT(5.0154355,52.3495164)";"POINT(52.3495164,5.0154355)";5.0154355;52.3495164;NA
279;"Centrumeiland blok 14/15";"Naast elkaar";"In uitvoering";"";"";0;"";"";NA;"";"";"";"POINT(5.015929,52.3495688)";"POINT(52.3495688,5.015929)";5.015929;52.3495688;NA
280;"Centrumeiland blok 14/15";"Samen in het klein";"In uitvoering";"";"";0;"";"";NA;"";"";"";"POINT(5.0158002,52.3492936)";"POINT(52.3492936,5.0158002)";5.0158002;52.3492936;NA
281;"Sloterdijk";"Samen in het groot (MO)";"In uitvoering";"";"";0;"";"";NA;"";"";"";"POINT(4.8361996,52.3862014)";"POINT(52.3862014,4.8361996)";4.8361996;52.3862014;NA
282;"Centrumeiland blok 7/8";"Samen in het klein";"In uitvoering";"";"";0;"";"";NA;"";"";"Start inschrijving 3 juli-21 augustus";"POINT(5.0146844,52.3508468)";"POINT(52.3508468,5.0146844)";5.0146844;52.3508468;NA
283;"Centrumeiland blok 7/8";"Naast elkaar";"In uitvoering";"";"";0;"";"";NA;"";"";"";"POINT(5.0148776,52.3509189)";"POINT(52.3509189,5.0148776)";5.0148776;52.3509189;NA
284;"Kavel 15-09 Centrumeiland";"Samen in het groot (CPO)";"In uitvoering";"";"";0;"";"";NA;"";"";"";"POINT(5.0150492,52.349523)";"POINT(52.349523,5.0150492)";5.0150492;52.349523;NA
285;"Blok 7 Centrumeiland";"Samen in het groot (CPO)";"In uitvoering";"";"2 kavels voor 17/18 woningen";0;"";"";NA;"";"";"Inschrijving gesloten";"POINT(5.0143626,52.350873)";"POINT(52.350873,5.0143626)";5.0143626;52.350873;NA
286;"Centrumeiland Blok 4";"Samen in het groot (CPO)";"In uitvoering";"";"";0;"";"";NA;"";"";"Inschrijving 14 december tot 25 januari 2019";"POINT(5.0126992,52.3528699)";"POINT(52.3528699,5.0126992)";5.0126992;52.3528699;NA
287;"Centrumeiland Blok 4";"Samen in het groot (MO)";"In uitvoering";"";"";0;"";"";NA;"";"";"Publicatie op TenderNed";"POINT(5.0120126,52.3526602)";"POINT(52.3526602,5.0120126)";5.0120126;52.3526602;NA
288;"Centrumeiland blok 4";"Samen in het klein";"In uitvoering";"";"";0;"";"";NA;"";"";"Inschrijving 14 dec-25 januari 2019";"POINT(5.0132142,52.3525291)";"POINT(52.3525291,5.0132142)";5.0132142;52.3525291;NA
289;"Centrumeiland blok 4";"Naast elkaar";"In uitvoering";"";"";0;"";"";NA;"";"";"Inschrijving 14 dec-25 januari 2019";"POINT(5.0122701,52.3527125)";"POINT(52.3527125,5.0122701)";5.0122701;52.3527125;NA
290;"Amstelkwartier 2BB D1";"Samen in het groot (CPO)";"In uitvoering";"";"10 à 14 woningen";0;"";"";NA;"";"";"Start inschrijving half december voor CPO-groepen in Kaartenbak";"POINT(4.9188094,52.3398372)";"POINT(52.3398372,4.9188094)";4.9188094;52.3398372;NA
291;"Lutkemeerweg ";"Vrijstaand";"In uitvoering";"";"";0;"";"";NA;"";"";"";"POINT(4.7627043,52.3553867)";"POINT(52.3553867,4.7627043)";4.7627043;52.3553867;NA
293;"Maanhof";"Vrijstaand";"In uitvoering";"";"";0;"";"";NA;"";"";"";"POINT(5.0173462,52.307938)";"POINT(52.307938,5.0173462)";5.0173462;52.307938;NA
294;"Eenhoorngebied";"Naast elkaar";"In uitvoering";"";"";0;"";"";NA;"";"";"Start inschrijving 14 december 2018";"POINT(4.9212383,52.3510913)";"POINT(52.3510913,4.9212383)";4.9212383;52.3510913;NA
295;"Parnassia";"Naast elkaar";"In uitvoering";"";"";0;"";"";NA;"";"";"";"POINT(4.9584543,52.3968474)";"POINT(52.3968474,4.9584543)";4.9584543;52.3968474;NA
296;"Oostenburg (Stadgenoot)";"Samen in het groot (CPO)";"In uitvoering";"";"";0;"";"";NA;"Stadgenoot";"";"Start verkoop januari 2019";"POINT(4.9292397,52.3712934)";"POINT(52.3712934,4.9292397)";4.9292397;52.3712934;NA
297;"Centrumeiland blok 12, kavel 7-11, 10-03, 14-04";"Naast elkaar";"In uitvoering";"";"";0;"";"";NA;"";"";"Start inschrijving naar verwachting 4 juli 2019";"POINT(5.01433,52.3527912)";"POINT(52.3527912,5.01433)";5.01433;52.3527912;NA
298;"Dubbelink";"Naast elkaar";"In uitvoering";"";"";0;"";"";NA;"";"";"";"POINT(4.9506437,52.323177)";"POINT(52.323177,4.9506437)";4.9506437;52.323177;NA
299;"Ringdijk 44, kavel 3D";"Naast elkaar";"In uitvoering";"";"";0;"";"";NA;"";"";"Start inschrijving naar verwachting 4 juli 2019";"POINT(4.9237264,52.3525293)";"POINT(52.3525293,4.9237264)";4.9237264;52.3525293;NA
300;"Sluisbuurt";"Samen in het groot (CPO)";"In uitvoering";"";"11-20 woningen";0;"";"";NA;"";"";"Inschrijving start 5 december voor geregistreerde bouwgroepen";"POINT(4.9612867,52.3761554)";"POINT(52.3761554,4.9612867)";4.9612867;52.3761554;NA
301;"Centrumeiland";"Samen in het groot (CPO)";"In uitvoering";"";"8-12 woningen";0;"";"";NA;"";"";"Start inschrijving 22 november 2019 voor geregistreerde bouwgroepen";"POINT(5.014845,52.3526226)";"POINT(52.3526226,5.014845)";5.014845;52.3526226;NA
304;"Westerdok (waterkavels)";"Vrijstaand";"In uitvoering";"";"2 ligplaatsen voor varende woonschepen";0;"";"";NA;"";"";"Start inschrijving 18 november 2019";"POINT(4.8904979,52.3887552)";"POINT(52.3887552,4.8904979)";4.8904979;52.3887552;NA
