OBJECTNUMMER;Buurtnaam;Voorwaarden;SELECTIE;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"NDSM terrein";"";"TENZIJ";"POLYGON((4.896029 52.398058,4.895111 52.397378,4.894638 52.397044,4.893914 52.396553,4.893421 52.396231,4.892665 52.395758,4.89156 52.395105,4.889775 52.396405,4.885861 52.39937,4.882702 52.401695,4.884035 52.402846,4.885448 52.404002,4.888595 52.406503,4.891151 52.405282,4.891549 52.405649,4.892546 52.407058,4.892643 52.406978,4.892772 52.406845,4.892884 52.406696,4.892971 52.406523,4.89302 52.40636,4.893154 52.405249,4.893184 52.40511,4.893221 52.405016,4.893275 52.404921,4.893512 52.404618,4.89393 52.404427,4.894614 52.404137,4.900195 52.401467,4.896776 52.398647,4.896029 52.398058))";"POLYGON((52.398058 4.896029,52.397378 4.895111,52.397044 4.894638,52.396553 4.893914,52.396231 4.893421,52.395758 4.892665,52.395105 4.89156,52.396405 4.889775,52.39937 4.885861,52.401695 4.882702,52.402846 4.884035,52.404002 4.885448,52.406503 4.888595,52.405282 4.891151,52.405649 4.891549,52.407058 4.892546,52.406978 4.892643,52.406845 4.892772,52.406696 4.892884,52.406523 4.892971,52.40636 4.89302,52.405249 4.893154,52.40511 4.893184,52.405016 4.893221,52.404921 4.893275,52.404618 4.893512,52.404427 4.89393,52.404137 4.894614,52.401467 4.900195,52.398647 4.896776,52.398058 4.896029))";4.8914535;52.4010741;
2;"Buiksloterham";"";"TENZIJ";"POLYGON((4.89156 52.395105,4.892665 52.395758,4.893421 52.396231,4.893914 52.396553,4.894638 52.397044,4.895111 52.397378,4.896029 52.398058,4.908563 52.39332,4.907432 52.392183,4.906677 52.391497,4.906445 52.391238,4.906251 52.390968,4.906097 52.390689,4.905984 52.390401,4.905913 52.39011,4.905886 52.389815,4.905901 52.38952,4.905958 52.389227,4.906059 52.388896,4.903144 52.388376,4.902004 52.390686,4.901463 52.390633,4.901446 52.390675,4.898626 52.390351,4.898623 52.390363,4.894675 52.389933,4.893986 52.392045,4.89366 52.392817,4.893215 52.393557,4.892659 52.394199,4.892007 52.394779,4.89156 52.395105))";"POLYGON((52.395105 4.89156,52.395758 4.892665,52.396231 4.893421,52.396553 4.893914,52.397044 4.894638,52.397378 4.895111,52.398058 4.896029,52.39332 4.908563,52.392183 4.907432,52.391497 4.906677,52.391238 4.906445,52.390968 4.906251,52.390689 4.906097,52.390401 4.905984,52.39011 4.905913,52.389815 4.905886,52.38952 4.905901,52.389227 4.905958,52.388896 4.906059,52.388376 4.903144,52.390686 4.902004,52.390633 4.901463,52.390675 4.901446,52.390351 4.898626,52.390363 4.898623,52.389933 4.894675,52.392045 4.893986,52.392817 4.89366,52.393557 4.893215,52.394199 4.892659,52.394779 4.892007,52.395105 4.89156))";4.9000666;52.39321005;
3;"Vogelbuurt Zuid";"";"TENZIJ";"POLYGON((4.907474 52.383696,4.912012 52.385811,4.912737 52.386137,4.913784 52.386656,4.914456 52.387021,4.914783 52.387209,4.915421 52.387597,4.915732 52.387796,4.916333 52.388205,4.916908 52.388627,4.917459 52.389062,4.917983 52.389509,4.918233 52.389737,4.923919 52.387557,4.922705 52.386388,4.922577 52.386274,4.922419 52.386175,4.922236 52.386096,4.922033 52.386035,4.921872 52.386006,4.919651 52.385677,4.919292 52.385602,4.918945 52.385508,4.918699 52.385427,4.918386 52.385305,4.918164 52.385202,4.917886 52.385053,4.917568 52.384846,4.916392 52.383996,4.916125 52.383834,4.915839 52.383686,4.91541 52.383499,4.9149 52.383317,4.914566 52.383225,4.91422 52.383151,4.913865 52.383095,4.913503 52.383058,4.913137 52.383042,4.912771 52.383045,4.912407 52.383067,4.912047 52.383109,4.91153 52.383199,4.911349 52.383219,4.911173 52.383229,4.910995 52.38323,4.910817 52.383222,4.910531 52.383188,4.909685 52.383633,4.909579 52.383672,4.909458 52.383687,4.909306 52.383672,4.909199 52.383634,4.909154 52.383608,4.908782 52.383323,4.908664 52.383249,4.908529 52.383184,4.908401 52.383135,4.908327 52.38312,4.908269 52.38312,4.908195 52.383135,4.908132 52.383167,4.907474 52.383696))";"POLYGON((52.383696 4.907474,52.385811 4.912012,52.386137 4.912737,52.386656 4.913784,52.387021 4.914456,52.387209 4.914783,52.387597 4.915421,52.387796 4.915732,52.388205 4.916333,52.388627 4.916908,52.389062 4.917459,52.389509 4.917983,52.389737 4.918233,52.387557 4.923919,52.386388 4.922705,52.386274 4.922577,52.386175 4.922419,52.386096 4.922236,52.386035 4.922033,52.386006 4.921872,52.385677 4.919651,52.385602 4.919292,52.385508 4.918945,52.385427 4.918699,52.385305 4.918386,52.385202 4.918164,52.385053 4.917886,52.384846 4.917568,52.383996 4.916392,52.383834 4.916125,52.383686 4.915839,52.383499 4.91541,52.383317 4.9149,52.383225 4.914566,52.383151 4.91422,52.383095 4.913865,52.383058 4.913503,52.383042 4.913137,52.383045 4.912771,52.383067 4.912407,52.383109 4.912047,52.383199 4.91153,52.383219 4.911349,52.383229 4.911173,52.38323 4.910995,52.383222 4.910817,52.383188 4.910531,52.383633 4.909685,52.383672 4.909579,52.383687 4.909458,52.383672 4.909306,52.383634 4.909199,52.383608 4.909154,52.383323 4.908782,52.383249 4.908664,52.383184 4.908529,52.383135 4.908401,52.38312 4.908327,52.38312 4.908269,52.383135 4.908195,52.383167 4.908132,52.383696 4.907474))";4.9157016;52.3863818;
4;"Bedrijventerrein Hamerstraat";"";"TENZIJ";"POLYGON((4.918945 52.385508,4.919292 52.385602,4.919651 52.385677,4.921872 52.386006,4.922033 52.386035,4.922236 52.386096,4.922419 52.386175,4.922577 52.386274,4.922705 52.386388,4.923919 52.387557,4.924884 52.387551,4.928294 52.386241,4.928035 52.385978,4.937355 52.382401,4.937108 52.38239,4.931087 52.382134,4.922456 52.381097,4.919858 52.380804,4.919044 52.383392,4.91912 52.383559,4.918819 52.384485,4.919256 52.384533,4.918945 52.385508))";"POLYGON((52.385508 4.918945,52.385602 4.919292,52.385677 4.919651,52.386006 4.921872,52.386035 4.922033,52.386096 4.922236,52.386175 4.922419,52.386274 4.922577,52.386388 4.922705,52.387557 4.923919,52.387551 4.924884,52.386241 4.928294,52.385978 4.928035,52.382401 4.937355,52.38239 4.937108,52.382134 4.931087,52.381097 4.922456,52.380804 4.919858,52.383392 4.919044,52.383559 4.91912,52.384485 4.918819,52.384533 4.919256,52.385508 4.918945))";4.928092;52.3841731;
5;"Buurt 2";"";"TENZIJ";"POLYGON((4.837724 52.378851,4.837645 52.378664,4.837682 52.378669,4.837652 52.378599,4.837659 52.378598,4.837631 52.378531,4.837615 52.378534,4.837463 52.378184,4.837464 52.37816,4.836863 52.376731,4.8367 52.376345,4.824081 52.378318,4.823901 52.378359,4.823723 52.378429,4.821983 52.379336,4.820648 52.379546,4.82141 52.381369,4.837724 52.378851))";"POLYGON((52.378851 4.837724,52.378664 4.837645,52.378669 4.837682,52.378599 4.837652,52.378598 4.837659,52.378531 4.837631,52.378534 4.837615,52.378184 4.837463,52.37816 4.837464,52.376731 4.836863,52.376345 4.8367,52.378318 4.824081,52.378359 4.823901,52.378429 4.823723,52.379336 4.821983,52.379546 4.820648,52.381369 4.82141,52.378851 4.837724))";4.8291912;52.37885155;
6;"Noordoever Sloterplas";"";"TENZIJ";"POLYGON((4.835338 52.373145,4.835251 52.372938,4.83528 52.372933,4.835274 52.37292,4.834944 52.372126,4.834694 52.371439,4.834548 52.370905,4.834419 52.37037,4.833679 52.370482,4.833585 52.37051,4.833399 52.370586,4.833262 52.370626,4.832798 52.3707,4.832659 52.370735,4.832319 52.370787,4.832222 52.370554,4.831969 52.370133,4.831072 52.369874,4.830917 52.3698,4.83086 52.369759,4.830794 52.36969,4.829905 52.369907,4.829949 52.369961,4.82931 52.370303,4.829261 52.370358,4.829247 52.370421,4.829267 52.370476,4.829329 52.370552,4.827161 52.37212,4.825654 52.370872,4.824495 52.371824,4.824413 52.371869,4.824315 52.3719,4.821745 52.372304,4.821664 52.372109,4.821633 52.372069,4.821578 52.372032,4.821521 52.372012,4.821451 52.372001,4.821386 52.372002,4.817706 52.372581,4.819042 52.375702,4.835338 52.373145))";"POLYGON((52.373145 4.835338,52.372938 4.835251,52.372933 4.83528,52.37292 4.835274,52.372126 4.834944,52.371439 4.834694,52.370905 4.834548,52.37037 4.834419,52.370482 4.833679,52.37051 4.833585,52.370586 4.833399,52.370626 4.833262,52.3707 4.832798,52.370735 4.832659,52.370787 4.832319,52.370554 4.832222,52.370133 4.831969,52.369874 4.831072,52.3698 4.830917,52.369759 4.83086,52.36969 4.830794,52.369907 4.829905,52.369961 4.829949,52.370303 4.82931,52.370358 4.829261,52.370421 4.829247,52.370476 4.829267,52.370552 4.829329,52.37212 4.827161,52.370872 4.825654,52.371824 4.824495,52.371869 4.824413,52.3719 4.824315,52.372304 4.821745,52.372109 4.821664,52.372069 4.821633,52.372032 4.821578,52.372012 4.821521,52.372001 4.821451,52.372002 4.821386,52.372581 4.817706,52.375702 4.819042,52.373145 4.835338))";4.8265271;52.3726889;
7;"Lucas/Andreasziekenhuis e.o.";"";"TENZIJ";"POLYGON((4.834359 52.370099,4.834419 52.37037,4.834548 52.370905,4.834694 52.371439,4.834944 52.372126,4.835274 52.37292,4.83528 52.372933,4.835251 52.372938,4.835338 52.373145,4.840603 52.372322,4.840862 52.372292,4.841191 52.372266,4.842137 52.372233,4.843038 52.372207,4.843026 52.371903,4.842855 52.371905,4.842854 52.371871,4.842799 52.371855,4.84272 52.370921,4.842572 52.369999,4.842565 52.369716,4.842569 52.36958,4.842154 52.369574,4.842162 52.369302,4.840909 52.369293,4.84047 52.3693,4.840096 52.369323,4.83929 52.369396,4.838858 52.369442,4.838315 52.369517,4.834359 52.370099))";"POLYGON((52.370099 4.834359,52.37037 4.834419,52.370905 4.834548,52.371439 4.834694,52.372126 4.834944,52.37292 4.835274,52.372933 4.83528,52.372938 4.835251,52.373145 4.835338,52.372322 4.840603,52.372292 4.840862,52.372266 4.841191,52.372233 4.842137,52.372207 4.843038,52.371903 4.843026,52.371905 4.842855,52.371871 4.842854,52.371855 4.842799,52.370921 4.84272,52.369999 4.842572,52.369716 4.842565,52.36958 4.842569,52.369574 4.842154,52.369302 4.842162,52.369293 4.840909,52.3693 4.84047,52.369323 4.840096,52.369396 4.83929,52.369442 4.838858,52.369517 4.838315,52.370099 4.834359))";4.83870365;52.37121265;
8;"Overtoomse Veld Noord";"";"TENZIJ";"POLYGON((4.833859 52.36668,4.8339 52.367271,4.833952 52.367714,4.834359 52.370099,4.838315 52.369517,4.838858 52.369442,4.83929 52.369396,4.840096 52.369323,4.84047 52.3693,4.840909 52.369293,4.842162 52.369302,4.842315 52.364137,4.83388 52.364049,4.833851 52.366383,4.833859 52.36668))";"POLYGON((52.36668 4.833859,52.367271 4.8339,52.367714 4.833952,52.370099 4.834359,52.369517 4.838315,52.369442 4.838858,52.369396 4.83929,52.369323 4.840096,52.3693 4.84047,52.369293 4.840909,52.369302 4.842162,52.364137 4.842315,52.364049 4.83388,52.366383 4.833851,52.36668 4.833859))";4.83808805;52.36706605;
9;"Overtoomse Veld Zuid";"";"TENZIJ";"POLYGON((4.83388 52.364049,4.842315 52.364137,4.842456 52.359344,4.834071 52.359266,4.834032 52.359614,4.833963 52.36067,4.833905 52.362457,4.83388 52.364049))";"POLYGON((52.364049 4.83388,52.364137 4.842315,52.359344 4.842456,52.359266 4.834071,52.359614 4.834032,52.36067 4.833963,52.362457 4.833905,52.364049 4.83388))";4.8381729;52.36169305;
10;"Johan Jongkindbuurt";"";"TENZIJ";"POLYGON((4.834071 52.359266,4.842456 52.359344,4.842496 52.357975,4.834197 52.357885,4.834155 52.358546,4.834071 52.359266))";"POLYGON((52.359266 4.834071,52.359344 4.842456,52.357975 4.842496,52.357885 4.834197,52.358546 4.834155,52.359266 4.834071))";4.83828855;52.358607;
11;"Schipluidenbuurt";"";"TENZIJ";"POLYGON((4.834157 52.35604,4.834177 52.356308,4.834201 52.35732,4.834197 52.357885,4.842496 52.357975,4.842549 52.356131,4.834157 52.35604))";"POLYGON((52.35604 4.834157,52.356308 4.834177,52.35732 4.834201,52.357885 4.834197,52.357975 4.842496,52.356131 4.842549,52.35604 4.834157))";4.8383579;52.357001;
12;"Koningin Wilhelminaplein";"";"TENZIJ";"POLYGON((4.834157 52.35604,4.842549 52.356131,4.842644 52.352992,4.842649 52.352444,4.842633 52.35207,4.840544 52.352054,4.84042 52.351993,4.836515 52.351967,4.835801 52.351899,4.834204 52.351889,4.834175 52.352854,4.834088 52.354504,4.834118 52.355534,4.834157 52.35604))";"POLYGON((52.35604 4.834157,52.356131 4.842549,52.352992 4.842644,52.352444 4.842649,52.35207 4.842633,52.352054 4.840544,52.351993 4.84042,52.351967 4.836515,52.351899 4.835801,52.351889 4.834204,52.352854 4.834175,52.354504 4.834088,52.355534 4.834118,52.35604 4.834157))";4.8383734;52.35400455;
13;"Andreasterrein";"";"TENZIJ";"POLYGON((4.842496 52.357975,4.848885 52.358037,4.848894 52.35779,4.848933 52.355499,4.84474 52.355473,4.844793 52.352087,4.842633 52.35207,4.842649 52.352444,4.842644 52.352992,4.842549 52.356131,4.842496 52.357975))";"POLYGON((52.357975 4.842496,52.358037 4.848885,52.35779 4.848894,52.355499 4.848933,52.355473 4.84474,52.352087 4.844793,52.35207 4.842633,52.352444 4.842649,52.352992 4.842644,52.356131 4.842549,52.357975 4.842496))";4.84571955;52.35504595;
14;"Delflandpleinbuurt West";"";"TENZIJ";"POLYGON((4.834204 52.351889,4.835801 52.351899,4.836515 52.351967,4.84042 52.351993,4.840544 52.352054,4.842633 52.35207,4.842569 52.351538,4.84248 52.351138,4.842257 52.35044,4.842007 52.349863,4.841752 52.349339,4.841425 52.34862,4.841342 52.348408,4.841189 52.347936,4.841132 52.347694,4.841022 52.347002,4.840996 52.34658,4.840988 52.346019,4.840548 52.346016,4.840532 52.346028,4.840257 52.34603,4.840201 52.346058,4.840079 52.346022,4.839884 52.345999,4.839803 52.345971,4.839413 52.34593,4.839379 52.345981,4.839318 52.346014,4.839236 52.346037,4.83918 52.346034,4.839169 52.346028,4.839169 52.346034,4.83883 52.34602,4.838707 52.345981,4.838675 52.345956,4.838639 52.345973,4.838609 52.34597,4.838574 52.345953,4.838546 52.345964,4.838496 52.345964,4.838471 52.345948,4.838439 52.345959,4.838402 52.345957,4.838376 52.345943,4.838351 52.345952,4.838292 52.345942,4.838101 52.345946,4.838028 52.345971,4.837973 52.346012,4.83718 52.345997,4.837163 52.345993,4.837107 52.345879,4.836956 52.345833,4.836906 52.345885,4.836784 52.345866,4.836471 52.34585,4.834765 52.345775,4.83441 52.345771,4.834392 52.34616,4.834261 52.348427,4.834193 52.350473,4.834209 52.351026,4.834204 52.351889))";"POLYGON((52.351889 4.834204,52.351899 4.835801,52.351967 4.836515,52.351993 4.84042,52.352054 4.840544,52.35207 4.842633,52.351538 4.842569,52.351138 4.84248,52.35044 4.842257,52.349863 4.842007,52.349339 4.841752,52.34862 4.841425,52.348408 4.841342,52.347936 4.841189,52.347694 4.841132,52.347002 4.841022,52.34658 4.840996,52.346019 4.840988,52.346016 4.840548,52.346028 4.840532,52.34603 4.840257,52.346058 4.840201,52.346022 4.840079,52.345999 4.839884,52.345971 4.839803,52.34593 4.839413,52.345981 4.839379,52.346014 4.839318,52.346037 4.839236,52.346034 4.83918,52.346028 4.839169,52.346034 4.839169,52.34602 4.83883,52.345981 4.838707,52.345956 4.838675,52.345973 4.838639,52.34597 4.838609,52.345953 4.838574,52.345964 4.838546,52.345964 4.838496,52.345948 4.838471,52.345959 4.838439,52.345957 4.838402,52.345943 4.838376,52.345952 4.838351,52.345942 4.838292,52.345946 4.838101,52.345971 4.838028,52.346012 4.837973,52.345997 4.83718,52.345993 4.837163,52.345879 4.837107,52.345833 4.836956,52.345885 4.836906,52.345866 4.836784,52.34585 4.836471,52.345775 4.834765,52.345771 4.83441,52.34616 4.834392,52.348427 4.834261,52.350473 4.834193,52.351026 4.834209,52.351889 4.834204))";4.838418;52.34891385;
15;"Meer en Oever";"";"TENZIJ";"POLYGON((4.810438 52.363113,4.811291 52.361457,4.80916 52.361025,4.808893 52.361117,4.808745 52.36115,4.808565 52.361177,4.808402 52.361188,4.808188 52.361185,4.808024 52.361169,4.806728 52.360908,4.805727 52.362786,4.805639 52.362888,4.80558 52.362936,4.805487 52.36298,4.8054 52.363005,4.805278 52.36302,4.80516 52.363015,4.80364 52.362705,4.802013 52.365799,4.807539 52.36691,4.807617 52.366778,4.807973 52.366326,4.808671 52.36583,4.808727 52.36577,4.808812 52.36565,4.808881 52.365491,4.808903 52.365309,4.808887 52.365195,4.808829 52.365038,4.808803 52.364895,4.808799 52.364796,4.808814 52.364626,4.808853 52.36448,4.808904 52.364351,4.809265 52.363712,4.809394 52.363592,4.809461 52.363548,4.809567 52.363496,4.809741 52.363439,4.809847 52.363417,4.809993 52.363399,4.810052 52.363384,4.810145 52.363352,4.810232 52.363312,4.810352 52.363226,4.810438 52.363113))";"POLYGON((52.363113 4.810438,52.361457 4.811291,52.361025 4.80916,52.361117 4.808893,52.36115 4.808745,52.361177 4.808565,52.361188 4.808402,52.361185 4.808188,52.361169 4.808024,52.360908 4.806728,52.362786 4.805727,52.362888 4.805639,52.362936 4.80558,52.36298 4.805487,52.363005 4.8054,52.36302 4.805278,52.363015 4.80516,52.362705 4.80364,52.365799 4.802013,52.36691 4.807539,52.366778 4.807617,52.366326 4.807973,52.36583 4.808671,52.36577 4.808727,52.36565 4.808812,52.365491 4.808881,52.365309 4.808903,52.365195 4.808887,52.365038 4.808829,52.364895 4.808803,52.364796 4.808799,52.364626 4.808814,52.36448 4.808853,52.364351 4.808904,52.363712 4.809265,52.363592 4.809394,52.363548 4.809461,52.363496 4.809567,52.363439 4.809741,52.363417 4.809847,52.363399 4.809993,52.363384 4.810052,52.363352 4.810145,52.363312 4.810232,52.363226 4.810352,52.363113 4.810438))";4.80665705;52.36390175;
16;"Osdorpplein e.o.";"";"TENZIJ";"POLYGON((4.806728 52.360908,4.808024 52.361169,4.808188 52.361185,4.808402 52.361188,4.808565 52.361177,4.808745 52.36115,4.808893 52.361117,4.80916 52.361025,4.811291 52.361457,4.812184 52.359718,4.813056 52.358022,4.808871 52.357183,4.809055 52.356842,4.800801 52.355175,4.799258 52.358027,4.79816 52.359175,4.806728 52.360908))";"POLYGON((52.360908 4.806728,52.361169 4.808024,52.361185 4.808188,52.361188 4.808402,52.361177 4.808565,52.36115 4.808745,52.361117 4.808893,52.361025 4.80916,52.361457 4.811291,52.359718 4.812184,52.358022 4.813056,52.357183 4.808871,52.356842 4.809055,52.355175 4.800801,52.358027 4.799258,52.359175 4.79816,52.360908 4.806728))";4.80561305;52.3583094;
17;"Dorp Sloten";"Er zijn twee lopende initiatieven. Het stadsdeel ziet nog ruimte op het bedrijventerrein Langsom. Voor meer informatie kunt u contact opnemen met mw. Bos Eyssen, e.bos.eyssen@amsterdam.nl";"TENZIJ";"POLYGON((4.798803 52.334795,4.798223 52.335037,4.797772 52.335277,4.797332 52.335591,4.796091 52.336793,4.791788 52.341023,4.791444 52.341291,4.791108 52.341495,4.795493 52.346127,4.796156 52.347064,4.796715 52.347625,4.797165 52.347966,4.797446 52.348156,4.797752 52.348344,4.800091 52.346911,4.800193 52.346865,4.800305 52.346828,4.800481 52.346793,4.800578 52.346784,4.800835 52.346805,4.800471 52.346002,4.8003 52.345715,4.800085 52.345272,4.799312 52.343568,4.801652 52.343127,4.801275 52.34154,4.801252 52.341325,4.801192 52.341327,4.801164 52.341308,4.801122 52.341128,4.80111 52.340923,4.801177 52.340876,4.801197 52.340723,4.801144 52.340289,4.801038 52.340172,4.801021 52.340126,4.801056 52.339851,4.801013 52.339542,4.800817 52.338478,4.800626 52.337358,4.800636 52.337315,4.800655 52.337286,4.800762 52.337187,4.800878 52.337107,4.801512 52.336709,4.801565 52.336639,4.801577 52.336579,4.801569 52.336535,4.801539 52.336482,4.801488 52.336435,4.799018 52.334935,4.798803 52.334795))";"POLYGON((52.334795 4.798803,52.335037 4.798223,52.335277 4.797772,52.335591 4.797332,52.336793 4.796091,52.341023 4.791788,52.341291 4.791444,52.341495 4.791108,52.346127 4.795493,52.347064 4.796156,52.347625 4.796715,52.347966 4.797165,52.348156 4.797446,52.348344 4.797752,52.346911 4.800091,52.346865 4.800193,52.346828 4.800305,52.346793 4.800481,52.346784 4.800578,52.346805 4.800835,52.346002 4.800471,52.345715 4.8003,52.345272 4.800085,52.343568 4.799312,52.343127 4.801652,52.34154 4.801275,52.341325 4.801252,52.341327 4.801192,52.341308 4.801164,52.341128 4.801122,52.340923 4.80111,52.340876 4.801177,52.340723 4.801197,52.340289 4.801144,52.340172 4.801038,52.340126 4.801021,52.339851 4.801056,52.339542 4.801013,52.338478 4.800817,52.337358 4.800626,52.337315 4.800636,52.337286 4.800655,52.337187 4.800762,52.337107 4.800878,52.336709 4.801512,52.336639 4.801565,52.336579 4.801577,52.336535 4.801569,52.336482 4.801539,52.336435 4.801488,52.334935 4.799018,52.334795 4.798803))";4.79638505;52.3415629;
18;"Riekerpolder";"Het gebied behoort bij de ontwikkeling van de Ringspoorzone. U kunt hierover contact opnemen met de gebiedscoördinator van stadsdeel Nieuw West, tel. 14 020 ";"TENZIJ";"POLYGON((4.827575 52.345586,4.830435 52.345583,4.834414 52.345628,4.834438 52.34454,4.834457 52.34436,4.834522 52.344075,4.834608 52.343847,4.834687 52.343261,4.834761 52.342854,4.834885 52.342012,4.834925 52.34181,4.835014 52.341499,4.835196 52.341031,4.835487 52.340584,4.835674 52.340351,4.835996 52.340002,4.836437 52.339582,4.836763 52.339313,4.836935 52.339184,4.837114 52.339057,4.837492 52.338815,4.837689 52.338699,4.838102 52.33848,4.838536 52.338276,4.838762 52.338181,4.839225 52.338003,4.839464 52.337922,4.839705 52.337844,4.840201 52.337703,4.839496 52.337796,4.837444 52.338108,4.836683 52.338204,4.836318 52.338243,4.835531 52.338314,4.835145 52.338342,4.834369 52.338384,4.833591 52.338409,4.832604 52.338421,4.819922 52.338512,4.819934 52.339517,4.819989 52.339741,4.819951 52.340177,4.819987 52.34045,4.819939 52.340896,4.819918 52.341251,4.819917 52.341491,4.819992 52.341577,4.81999 52.341723,4.820011 52.341829,4.81998 52.342006,4.82113 52.342054,4.82174 52.342095,4.822069 52.342108,4.822703 52.342108,4.823094 52.342124,4.823974 52.342202,4.824846 52.342341,4.825677 52.342483,4.826368 52.342574,4.826537 52.342588,4.826906 52.3426,4.827713 52.342602,4.827749 52.34341,4.827744 52.343797,4.827704 52.344288,4.827643 52.344589,4.827615 52.344809,4.827575 52.345586))";"POLYGON((52.345586 4.827575,52.345583 4.830435,52.345628 4.834414,52.34454 4.834438,52.34436 4.834457,52.344075 4.834522,52.343847 4.834608,52.343261 4.834687,52.342854 4.834761,52.342012 4.834885,52.34181 4.834925,52.341499 4.835014,52.341031 4.835196,52.340584 4.835487,52.340351 4.835674,52.340002 4.835996,52.339582 4.836437,52.339313 4.836763,52.339184 4.836935,52.339057 4.837114,52.338815 4.837492,52.338699 4.837689,52.33848 4.838102,52.338276 4.838536,52.338181 4.838762,52.338003 4.839225,52.337922 4.839464,52.337844 4.839705,52.337703 4.840201,52.337796 4.839496,52.338108 4.837444,52.338204 4.836683,52.338243 4.836318,52.338314 4.835531,52.338342 4.835145,52.338384 4.834369,52.338409 4.833591,52.338421 4.832604,52.338512 4.819922,52.339517 4.819934,52.339741 4.819989,52.340177 4.819951,52.34045 4.819987,52.340896 4.819939,52.341251 4.819918,52.341491 4.819917,52.341577 4.819992,52.341723 4.81999,52.341829 4.820011,52.342006 4.81998,52.342054 4.82113,52.342095 4.82174,52.342108 4.822069,52.342108 4.822703,52.342124 4.823094,52.342202 4.823974,52.342341 4.824846,52.342483 4.825677,52.342574 4.826368,52.342588 4.826537,52.3426 4.826906,52.342602 4.827713,52.34341 4.827749,52.343797 4.827744,52.344288 4.827704,52.344589 4.827643,52.344809 4.827615,52.345586 4.827575))";4.83006405;52.34165825;
